Anbieter;Vertragscode;Bereitstellung;LaufzeitMonate;KostenMonat;KuendMonate
UniMedia;UniBlanco;49.99;24;14.99;0
UniMedia;UMLong;0;60;7.99;12
UniMedia;UMShort;49.99;12;19.99;0
UniMedia;UMUltraShort;49.99;6;24.99;0
Tele-Komm;SabretoothX;39.99;36;13.99;6
Tele-Komm;VolverineX;29.99;24;17.99;2
Tele-Komm;MagnetoXL;0;48;9.99;3
Tele-Komm;StormS;69.99;12;17.48;0
Tele-Komm;MystiqueXXL;49.99;60;6.99;12
H2O;LukeSW;39.5;18;13.2;2
H2O;DarthV;49.5;30;12.4;4
H2O;LeiaSW;0;72;6.88;24
H2O;R2D2Short;59.95;12;15.41;4
H2O;R2D2Long;24.99;60;4.99;24
H2O;R2D2SuperLong;0;84;3.99;36
